query_d39v	target_tigr4	alnlen	mismatches	qstart	qend	tstart	tend	evalue	bitscore	len_d39v	orient_d39v	left_d39v	right_d39v	len_tigr4	orient_tigr4	left_tigr4	right_tigr4
IGR_D39V_1246	IGR_NC_003028.3_1329	230	0	1	230	22	251	3.231E-126	414.0	230	TANDEM(--)	SPV_1494	SPV_1495	251	TANDEM(--)	SP_RS08310	SP_RS08315
IGR_D39V_1470	IGR_NC_003028.3_1580	155	0	1	155	1	155	9.139E-84	279.0	155	TANDEM(--)	SPV_1791	SPV_1792	155	TANDEM(--)	SP_RS10020	SP_RS10025
IGR_D39V_0354	IGR_NC_003028.3_0356	33	0	1	33	1	33	1.261E-14	61.0	33	TANDEM(++)	SPV_0399	SPV_2491	282	TANDEM(++)	SP_RS02165	SP_RS11740
IGR_D39V_0676	IGR_NC_003028.3_0714	88	0	35	122	1	88	7.005E-43	159.0	122	TANDEM(++)	SPV_2239	SPV_0782	88	TANDEM(++)	SP_RS13165	SP_RS04370
IGR_D39V_0708	IGR_NC_003028.3_0747	100	0	1	100	1	100	1.290E-52	181.0	100	TANDEM(++)	SPV_0821	SPV_0822	100	TANDEM(++)	SP_RS04600	SP_RS04605
IGR_D39V_0740	IGR_NC_003028.3_0782	48	0	1	48	1	48	3.885E-23	88.0	48	TANDEM(++)	SPV_0857	SPV_0858	48	TANDEM(++)	SP_RS04805	SP_RS04810
IGR_D39V_0868	IGR_NC_003028.3_0829	73	0	73	1	1	73	2.584E-37	132.0	73	TANDEM(--)	SPV_0914	SPV_0913	73	TANDEM(++)	SP_RS05100	SP_RS05105
IGR_D39V_0964	IGR_NC_003028.3_1028	194	0	1	194	1	194	7.646E-106	349.0	194	CONVERGENT	SPV_1141	SPV_1142	194	CONVERGENT	SP_RS06305	SP_RS06310
IGR_D39V_0997	IGR_NC_003028.3_1071	201	0	1	201	1	201	8.346E-110	362.0	201	TANDEM(--)	SPV_2326	SPV_1180	201	TANDEM(--)	SP_RS12830	SP_RS06600
IGR_D39V_1189	IGR_NC_003028.3_1265	45	0	1	45	1	45	1.956E-21	82.0	45	DIVERGENT	SPV_1429	SPV_1430	51	DIVERGENT	SP_RS07910	SP_RS12320
IGR_D39V_1031	IGR_NC_003028.3_1104	111	0	1	111	1	111	7.565E-59	200.0	111	TANDEM(--)	SPV_1222	SPV_1223	111	TANDEM(--)	SP_RS06815	SP_RS06820
IGR_D39V_1127	IGR_NC_003028.3_1202	92	0	1	92	1	92	4.401E-48	166.0	92	TANDEM(--)	SPV_1351	SPV_1352	92	TANDEM(--)	SP_RS07500	SP_RS07505
IGR_D39V_1159	IGR_NC_003028.3_1231	73	0	1	73	1	73	2.584E-37	132.0	73	TANDEM(--)	SPV_1389	SPV_1390	73	TANDEM(--)	SP_RS07680	SP_RS07685
IGR_D39V_1191	IGR_NC_003028.3_1268	102	0	1	102	1	102	9.495E-54	184.0	102	TANDEM(--)	SPV_1432	SPV_2363	300	TANDEM(--)	SP_RS07925	SP_RS07930
IGR_D39V_1223	IGR_NC_003028.3_1303	34	0	1	34	62	95	3.413E-15	62.0	34	CONVERGENT	SPV_2539	SPV_1465	95	CONVERGENT	SP_RS08150	SP_RS08155
IGR_D39V_1285	IGR_NC_003028.3_1365	106	0	1	106	25	130	5.144E-56	191.0	106	TANDEM(--)	SPV_1537	SPV_1538	130	TANDEM(--)	SP_RS08545	SP_RS08550
IGR_D39V_1509	IGR_NC_003028.3_1618	130	0	1	130	1	130	1.310E-69	234.0	130	TANDEM(--)	SPV_1847	SPV_1848	130	TANDEM(--)	SP_RS10305	SP_RS10310
IGR_D39V_0071	IGR_NC_003028.3_0079	41	0	1	41	1	41	3.638E-19	75.0	41	TANDEM(++)	SPV_0098	SPV_0099	41	TANDEM(++)	SP_RS00515	SP_RS00520
IGR_D39V_0135	IGR_NC_003028.3_0123	153	0	1	153	1	153	1.240E-82	276.0	153	TANDEM(++)	SPV_0150	SPV_0151	153	TANDEM(++)	SP_RS00765	SP_RS00770
IGR_D39V_0327	IGR_NC_003028.3_0327	47	0	1	47	1	47	1.434E-22	86.0	47	CONVERGENT	SPV_0365	SPV_0366	47	CONVERGENT	SP_RS01985	SP_RS01990
IGR_D39V_1434	IGR_NC_003028.3_1545	102	0	1	102	1	102	9.495E-54	184.0	102	TANDEM(++)	SPV_1746	SPV_1747	102	TANDEM(++)	SP_RS13695	SP_RS09790
IGR_D39V_1530	IGR_NC_003028.3_1639	75	0	1	75	1	75	1.899E-38	136.0	75	TANDEM(--)	SPV_1877	SPV_1878	75	TANDEM(--)	SP_RS10445	SP_RS10450
IGR_D39V_1626	IGR_NC_003028.3_1741	86	0	1	86	1	86	1.106E-44	156.0	86	CONVERGENT	SPV_2009	SPV_2010	86	CONVERGENT	SP_RS11145	SP_RS11150
IGR_D39V_1658	IGR_NC_003028.3_1771	158	0	1	158	1	158	1.830E-85	285.0	158	DIVERGENT	SPV_2052	SPV_2053	158	DIVERGENT	SP_RS11360	SP_RS11365
IGR_D39V_0059	IGR_NC_003028.3_0064	65	0	1	65	1	65	8.868E-33	118.0	65	TANDEM(++)	SPV_0082	SPV_2464	194	TANDEM(++)	SP_RS00435	SP_RS00440
IGR_D39V_1119	IGR_NC_003028.3_1195	58	0	1	58	387	444	8.266E-29	105.0	58	TANDEM(--)	SPV_2534	SPV_1343	444	TANDEM(--)	SP_RS07460	SP_RS07465
IGR_D39V_1151	IGR_NC_003028.3_1225	115	0	1	115	1	115	4.102E-61	208.0	115	TANDEM(--)	SPV_1381	SPV_1382	115	TANDEM(--)	SP_RS07640	SP_RS07645
IGR_D39V_1215	IGR_NC_003028.3_1297	29	0	1	29	1	29	2.348E-12	53.0	29	TANDEM(--)	SPV_1457	SPV_1458	29	TANDEM(--)	SP_RS08105	SP_RS08110
IGR_D39V_1247	IGR_NC_003028.3_1330	124	0	1	124	1	124	3.276E-66	224.0	124	TANDEM(--)	SPV_1495	SPV_1496	124	TANDEM(--)	SP_RS08315	SP_RS08320
IGR_D39V_1375	IGR_NC_003028.3_1479	681	0	1	681	1	681	0.000E+00	1222.0	681	TANDEM(--)	SPV_1645	SPV_1646	681	TANDEM(--)	SP_RS09245	SP_RS09250
IGR_D39V_1047	IGR_NC_003028.3_1118	129	0	1	129	1	129	4.826E-69	233.0	129	TANDEM(--)	SPV_1244	SPV_1245	129	TANDEM(--)	SP_RS06925	SP_RS06930
IGR_D39V_1079	IGR_NC_003028.3_1151	44	0	1	44	1	44	7.222E-21	80.0	44	TANDEM(++)	SPV_1285	SPV_1286	44	TANDEM(++)	SP_RS07155	SP_RS07160
IGR_D39V_1111	IGR_NC_003028.3_1189	85	0	1	85	1	85	4.078E-44	154.0	85	TANDEM(--)	SPV_1335	SPV_1336	85	TANDEM(--)	SP_RS07425	SP_RS07430
IGR_D39V_1143	IGR_NC_003028.3_1220	66	0	1	66	1	66	2.403E-33	120.0	66	TANDEM(--)	SPV_1374	SPV_2356	320	DIVERGENT	SP_RS07610	SP_RS07620
IGR_D39V_1597	IGR_NC_003028.3_1709	90	0	1	90	1	90	5.983E-47	163.0	90	TANDEM(--)	SPV_1971	SPV_1972	90	TANDEM(--)	SP_RS10935	SP_RS10940
IGR_D39V_1629	IGR_NC_003028.3_1744	41	0	1	41	1	41	3.638E-19	75.0	41	TANDEM(--)	SPV_2012	SPV_2013	41	TANDEM(--)	SP_RS11160	SP_RS11165
IGR_D39V_0030	IGR_NC_003028.3_0034	169	0	1	169	1	169	1.084E-91	304.0	169	TANDEM(++)	SPV_0050	SPV_0051	169	TANDEM(++)	SP_RS00260	SP_RS00265
IGR_D39V_0158	IGR_NC_003028.3_0149	65	0	1	65	1	65	8.868E-33	118.0	65	TANDEM(++)	SPV_0178	SPV_0179	65	TANDEM(++)	SP_RS00930	SP_RS00935
IGR_D39V_0190	IGR_NC_003028.3_0175	46	0	1	46	130	175	5.296E-22	84.0	46	TANDEM(++)	SPV_2484	SPV_2485	284	TANDEM(++)	SP_RS01075	SP_RS01080
IGR_D39V_0171	IGR_NC_003028.3_0158	117	0	1	117	1	117	5.160E-62	211.0	119	TANDEM(++)	SPV_0186	SPV_0187	119	TANDEM(++)	SP_RS00975	SP_RS00980
IGR_D39V_0203	IGR_NC_003028.3_0187	42	0	1	42	1	42	9.850E-20	77.0	42	TANDEM(++)	SPV_0217	SPV_0218	42	TANDEM(++)	SP_RS01135	SP_RS01140
IGR_D39V_0235	IGR_NC_003028.3_0220	103	0	1	103	1	103	2.576E-54	186.0	103	TANDEM(++)	SPV_0253	SPV_0254	103	TANDEM(++)	SP_RS01330	SP_RS01335
IGR_D39V_0331	IGR_NC_003028.3_0332	103	0	1	103	1	103	2.576E-54	186.0	103	TANDEM(++)	SPV_0370	SPV_0371	103	TANDEM(++)	SP_RS02010	SP_RS02015
IGR_D39V_0427	IGR_NC_003028.3_0447	160	0	1	160	1	160	1.349E-86	288.0	160	TANDEM(++)	SPV_0475	SPV_0476	160	TANDEM(++)	SP_RS02695	SP_RS02700
IGR_D39V_0401	IGR_NC_003028.3_0409	95	0	1	95	1	95	8.783E-50	172.0	95	CONVERGENT	SPV_0448	SPV_2168	95	CONVERGENT	SP_RS02470	SP_RS11790
IGR_D39V_0433	IGR_NC_003028.3_0453	278	0	1	278	1	278	2.236E-153	500.0	278	TANDEM(++)	SPV_0483	SPV_0484	278	TANDEM(++)	SP_RS02735	SP_RS02740
IGR_D39V_0465	IGR_NC_003028.3_0489	140	0	1	140	1	140	2.846E-75	252.0	140	TANDEM(++)	SPV_0525	SPV_0526	140	TANDEM(++)	SP_RS02970	SP_RS02975
IGR_D39V_0561	IGR_NC_003028.3_0591	43	0	1	43	164	206	2.667E-20	79.0	43	TANDEM(++)	SPV_2504	SPV_0636	206	TANDEM(++)	SP_RS03570	SP_RS03575
IGR_D39V_0661	IGR_NC_003028.3_0699	75	0	1	75	1	75	1.899E-38	136.0	75	TANDEM(++)	SPV_0761	SPV_2511	149	TANDEM(++)	SP_RS04265	SP_RS04270
IGR_D39V_0725	IGR_NC_003028.3_0768	67	0	1	67	1	67	6.514E-34	122.0	67	TANDEM(++)	SPV_0842	SPV_0843	67	TANDEM(++)	SP_RS04725	SP_RS04730
IGR_D39V_0040	IGR_NC_003028.3_0046	54	0	1	54	1	54	1.534E-26	98.0	54	CONVERGENT	SPV_0062	SPV_0063	54	CONVERGENT	SP_RS00320	SP_RS00325
IGR_D39V_0136	IGR_NC_003028.3_0124	99	0	1	99	1	99	4.756E-52	179.0	99	TANDEM(++)	SPV_0151	SPV_0152	99	TANDEM(++)	SP_RS00770	SP_RS00775
IGR_D39V_0200	IGR_NC_003028.3_0184	24	0	1	24	1	24	1.615E-09	45.0	24	TANDEM(++)	SPV_0215	SPV_2122	24	TANDEM(++)	SP_RS01120	SP_RS01125
IGR_D39V_0144	IGR_NC_003028.3_0131	132	0	1	132	1	132	9.651E-71	238.0	132	TANDEM(++)	SPV_0160	SPV_2476	292	CONVERGENT	SP_RS00815	SP_RS00820
IGR_D39V_0176	IGR_NC_003028.3_0162	216	0	1	216	1	216	2.705E-118	388.0	216	TANDEM(++)	SPV_0192	SPV_0193	216	TANDEM(++)	SP_RS01005	SP_RS01010
IGR_D39V_0400	IGR_NC_003028.3_0408	36	0	1	36	1	36	2.501E-16	66.0	36	TANDEM(++)	SPV_0447	SPV_0448	36	TANDEM(++)	SP_RS02465	SP_RS02470
IGR_D39V_0432	IGR_NC_003028.3_0452	250	0	1	250	1	250	1.556E-137	449.0	250	TANDEM(++)	SPV_0482	SPV_0483	250	TANDEM(++)	SP_RS02730	SP_RS02735
IGR_D39V_0288	IGR_NC_003028.3_0279	295	0	1	295	1	295	5.391E-163	530.0	295	CONVERGENT	SPV_0308	SPV_0309	295	CONVERGENT	SP_RS01650	SP_RS01655
IGR_D39V_1314	IGR_NC_003028.3_1411	67	0	1	67	1	67	6.514E-34	122.0	67	TANDEM(--)	SPV_1570	SPV_2390	67	TANDEM(--)	SP_RS08825	SP_RS12895
IGR_D39V_1346	IGR_NC_003028.3_1446	107	0	1	107	1	107	1.396E-56	193.0	107	TANDEM(--)	SPV_1605	SPV_2395	107	TANDEM(--)	SP_RS09035	SP_RS09040
IGR_D39V_1410	IGR_NC_003028.3_1515	93	0	10	102	1	93	1.203E-47	168.0	102	DIVERGENT	SPV_1715	SPV_2407	93	DIVERGENT	SP_RS09615	SP_RS13690
IGR_D39V_1442	IGR_NC_003028.3_1553	372	0	1	372	574	945	1.494E-206	668.0	372	CONVERGENT	SPV_2572	SPV_1757	945	CONVERGENT	SP_RS09835	SP_RS09845
IGR_D39V_0472	IGR_NC_003028.3_0497	68	0	1	68	1	68	1.765E-34	123.0	68	TANDEM(++)	SPV_0533	SPV_0534	68	TANDEM(++)	SP_RS03010	SP_RS03015
IGR_D39V_0568	IGR_NC_003028.3_0601	124	0	1	124	1	124	3.276E-66	224.0	124	DIVERGENT	SPV_0646	SPV_0647	124	DIVERGENT	SP_RS03635	SP_RS03640
IGR_D39V_0582	IGR_NC_003028.3_0614	51	0	1	51	1	51	7.719E-25	93.0	51	TANDEM(++)	SPV_0661	SPV_0662	51	TANDEM(++)	SP_RS03710	SP_RS03715
IGR_D39V_0742	IGR_NC_003028.3_0784	101	0	1	101	1	101	3.500E-53	182.0	101	TANDEM(++)	SPV_0861	SPV_0862	101	TANDEM(++)	SP_RS04830	SP_RS04835
IGR_D39V_0774	IGR_NC_003028.3_0932	45	0	45	1	1	45	1.956E-21	82.0	45	TANDEM(++)	SPV_1026	SPV_1025	45	TANDEM(--)	SP_RS05725	SP_RS05730
IGR_D39V_0908	IGR_NC_003028.3_0969	107	0	1	107	1	107	1.396E-56	193.0	107	TANDEM(--)	SPV_1068	SPV_1069	107	TANDEM(--)	SP_RS05935	SP_RS05940
IGR_D39V_0972	IGR_NC_003028.3_1037	103	0	1	103	1	103	2.576E-54	186.0	103	DIVERGENT	SPV_1152	SPV_1153	103	DIVERGENT	SP_RS06365	SP_RS06370
IGR_D39V_1358	IGR_NC_003028.3_1459	42	0	1	42	1	42	9.850E-20	77.0	42	TANDEM(--)	SPV_1619	SPV_1620	42	TANDEM(--)	SP_RS09110	SP_RS09115
IGR_D39V_1390	IGR_NC_003028.3_1495	66	0	1	66	1	66	2.403E-33	120.0	66	TANDEM(--)	SPV_1670	SPV_1671	66	TANDEM(--)	SP_RS09390	SP_RS09395
IGR_D39V_1454	IGR_NC_003028.3_1565	77	0	1	77	1	77	1.396E-39	139.0	77	TANDEM(++)	SPV_1772	SPV_1773	77	TANDEM(++)	SP_RS09925	SP_RS09930
IGR_D39V_1518	IGR_NC_003028.3_1626	75	0	1	75	1	75	1.899E-38	136.0	75	TANDEM(--)	SPV_1863	SPV_1864	75	TANDEM(--)	SP_RS10380	SP_RS10385
IGR_D39V_1624	IGR_NC_003028.3_1735	313	0	1	313	1	313	3.537E-173	562.0	313	TANDEM(--)	SPV_2006	SPV_2007	313	TANDEM(--)	SP_RS11105	SP_RS11110
IGR_D39V_0185	IGR_NC_003028.3_0171	25	0	1	25	1	25	4.373E-10	46.0	25	TANDEM(++)	SPV_0202	SPV_0203	25	TANDEM(++)	SP_RS01055	SP_RS01060
IGR_D39V_0970	IGR_NC_003028.3_1035	118	0	1	118	1	118	8.198E-63	213.0	118	TANDEM(--)	SPV_1148	SPV_1149	118	TANDEM(--)	SP_RS06345	SP_RS06350
IGR_D39V_1066	IGR_NC_003028.3_1133	121	0	1	121	389	509	1.639E-64	218.0	121	CONVERGENT	SPV_1261	SPV_1262	509	CONVERGENT	SP_RS07025	SP_RS07030
IGR_D39V_1098	IGR_NC_003028.3_1175	342	0	1	342	1	342	1.392E-189	614.0	342	TANDEM(--)	SPV_1318	SPV_1319	921	TANDEM(--)	SP_RS07325	SP_RS07340
IGR_D39V_1109	IGR_NC_003028.3_1187	44	0	1	44	1	44	7.222E-21	80.0	44	CONVERGENT	SPV_1333	SPV_1334	44	CONVERGENT	SP_RS07415	SP_RS07420
IGR_D39V_1141	IGR_NC_003028.3_1218	152	0	1	152	1	152	4.565E-82	274.0	152	TANDEM(--)	SPV_1370	SPV_1371	152	TANDEM(--)	SP_RS07590	SP_RS07595
IGR_D39V_1205	IGR_NC_003028.3_1287	155	0	1	155	1	155	9.139E-84	279.0	155	DIVERGENT	SPV_1446	SPV_1447	155	DIVERGENT	SP_RS08050	SP_RS08055
IGR_D39V_1237	IGR_NC_003028.3_1318	175	0	1	175	1	175	4.348E-95	315.0	175	TANDEM(--)	SPV_1484	SPV_1485	175	TANDEM(--)	SP_RS08255	SP_RS08260
IGR_D39V_1333	IGR_NC_003028.3_1435	38	0	1	38	1	38	1.833E-17	70.0	38	TANDEM(++)	SPV_1589	SPV_1590	38	TANDEM(++)	SP_RS08950	SP_RS08955
IGR_D39V_1397	IGR_NC_003028.3_1502	91	0	1	91	1	91	1.623E-47	165.0	91	TANDEM(--)	SPV_1677	SPV_1678	91	TANDEM(--)	SP_RS09425	SP_RS09430
IGR_D39V_0806	IGR_NC_003028.3_0886	401	0	413	13	1	401	1.110E-221	720.0	413	DIVERGENT	SPV_0988	SPV_0987	401	DIVERGENT	SP_RS05465	SP_RS05470
IGR_D39V_0902	IGR_NC_003028.3_0964	37	0	1	37	376	412	6.771E-17	68.0	37	CONVERGENT	SPV_1059	SPV_2520	455	TANDEM(--)	SP_RS05890	SP_RS05895
IGR_D39V_0966	IGR_NC_003028.3_1030	90	0	1	90	1	90	5.983E-47	163.0	90	TANDEM(--)	SPV_1143	SPV_1144	90	TANDEM(--)	SP_RS06315	SP_RS06320
IGR_D39V_1030	IGR_NC_003028.3_1103	58	0	1	58	1	58	8.266E-29	105.0	58	TANDEM(--)	SPV_1221	SPV_1222	58	TANDEM(--)	SP_RS06810	SP_RS06815
IGR_D39V_1094	IGR_NC_003028.3_1167	113	0	1	113	1	113	5.571E-60	204.0	113	TANDEM(--)	SPV_1308	SPV_1309	113	TANDEM(--)	SP_RS07260	SP_RS07265
IGR_D39V_0623	IGR_NC_003028.3_0654	81	0	1	81	1	81	7.542E-42	147.0	81	TANDEM(++)	SPV_0709	SPV_0710	81	TANDEM(++)	SP_RS03950	SP_RS03955
IGR_D39V_0815	IGR_NC_003028.3_0877	82	0	82	1	1	82	2.045E-42	148.0	82	TANDEM(++)	SPV_0977	SPV_0976	82	TANDEM(--)	SP_RS05400	SP_RS05405
IGR_D39V_0179	IGR_NC_003028.3_0165	103	0	1	103	1	103	2.576E-54	186.0	103	TANDEM(++)	SPV_0196	SPV_0197	103	TANDEM(++)	SP_RS01025	SP_RS01030
IGR_D39V_0600	IGR_NC_003028.3_0633	97	0	1	97	1	97	6.462E-51	175.0	97	DIVERGENT	SPV_0681	SPV_0683	97	DIVERGENT	SP_RS03810	SP_RS03815
IGR_D39V_0792	IGR_NC_003028.3_0898	92	0	92	1	1	92	4.401E-48	166.0	92	TANDEM(--)	SPV_1001	SPV_1000	92	TANDEM(++)	SP_RS05525	SP_RS05530
IGR_D39V_0824	IGR_NC_003028.3_0866	58	0	58	1	1	58	8.266E-29	105.0	58	TANDEM(--)	SPV_0963	SPV_0962	58	TANDEM(++)	SP_RS05325	SP_RS05330
IGR_D39V_1116	IGR_NC_003028.3_1194	74	0	1	74	1	74	7.004E-38	134.0	74	TANDEM(--)	SPV_1341	SPV_1342	74	TANDEM(--)	SP_RS07455	SP_RS07460
IGR_D39V_1148	IGR_NC_003028.3_1222	78	0	1	78	1	78	3.784E-40	141.0	78	TANDEM(--)	SPV_1378	SPV_1379	78	TANDEM(--)	SP_RS07625	SP_RS07630
IGR_D39V_1443	IGR_NC_003028.3_1554	110	0	1	110	1	110	2.788E-58	199.0	110	TANDEM(--)	SPV_1757	SPV_1758	110	TANDEM(--)	SP_RS09845	SP_RS09850
IGR_D39V_1475	IGR_NC_003028.3_1586	424	0	1	424	1	424	5.799E-236	761.0	424	TANDEM(--)	SPV_1797	SPV_1798	424	TANDEM(--)	SP_RS10050	SP_RS10055
IGR_D39V_1507	IGR_NC_003028.3_1616	76	0	1	76	1	76	5.148E-39	138.0	76	TANDEM(--)	SPV_1845	SPV_1846	76	TANDEM(--)	SP_RS10295	SP_RS10300
IGR_D39V_1539	IGR_NC_003028.3_1648	50	0	1	50	1	50	2.850E-24	91.0	50	TANDEM(--)	SPV_1903	SPV_1904	50	TANDEM(--)	SP_RS10575	SP_RS10580
IGR_D39V_1603	IGR_NC_003028.3_1715	208	0	1	208	1	208	9.113E-114	374.0	208	TANDEM(++)	SPV_1977	SPV_1978	208	TANDEM(++)	SP_RS10965	SP_RS10970
IGR_D39V_1667	IGR_NC_003028.3_1781	281	0	1	281	1	281	4.490E-155	505.0	281	TANDEM(--)	SPV_2065	SPV_2067	281	TANDEM(--)	SP_RS11435	SP_RS11445
IGR_D39V_0004	IGR_NC_003028.3_0005	70	0	1	70	1	70	1.297E-35	127.0	70	TANDEM(++)	SPV_0004	SPV_0005	70	TANDEM(++)	SP_RS00020	SP_RS00025
IGR_D39V_1041	IGR_NC_003028.3_1112	120	0	1	120	344	463	6.038E-64	216.0	120	CONVERGENT	SPV_2332	SPV_2333	573	TANDEM(--)	SP_RS06865	SP_RS06870
IGR_D39V_1073	IGR_NC_003028.3_1144	42	0	1	42	1	42	9.850E-20	77.0	42	CONVERGENT	SPV_1275	SPV_1276	42	CONVERGENT	SP_RS07105	SP_RS07110
IGR_D39V_1169	IGR_NC_003028.3_1241	37	0	1	37	1	37	6.771E-17	68.0	37	TANDEM(--)	SPV_1403	SPV_1404	37	TANDEM(--)	SP_RS07755	SP_RS07760
IGR_D39V_0889	IGR_NC_003028.3_0947	350	0	1	350	1	350	4.153E-194	629.0	350	DIVERGENT	SPV_1040	SPV_1041	350	DIVERGENT	SP_RS05800	SP_RS05805
IGR_D39V_1049	IGR_NC_003028.3_1119	40	0	1	40	100	139	1.344E-18	73.0	40	TANDEM(--)	SPV_2529	SPV_1246	145	TANDEM(--)	SP_RS06930	SP_RS06935
IGR_D39V_1081	IGR_NC_003028.3_1153	65	0	1	65	1	65	8.868E-33	118.0	65	TANDEM(--)	SPV_1287	SPV_1288	65	TANDEM(--)	SP_RS07165	SP_RS07170
IGR_D39V_0212	IGR_NC_003028.3_0197	194	0	1	194	1	194	7.646E-106	349.0	194	TANDEM(++)	SPV_0231	SPV_0232	194	TANDEM(++)	SP_RS01200	SP_RS01205
IGR_D39V_0244	IGR_NC_003028.3_0230	27	0	1	27	1	27	3.205E-11	50.0	27	TANDEM(--)	SPV_0263	SPV_0264	27	TANDEM(--)	SP_RS01390	SP_RS01395
IGR_D39V_0340	IGR_NC_003028.3_0341	59	0	1	59	1	59	2.240E-29	107.0	59	TANDEM(++)	SPV_0380	SPV_0381	59	TANDEM(++)	SP_RS02060	SP_RS02065
IGR_D39V_0404	IGR_NC_003028.3_0412	56	0	1	56	1	56	1.126E-27	102.0	56	TANDEM(++)	SPV_0453	SPV_0452	56	TANDEM(++)	SP_RS02480	SP_RS02485
IGR_D39V_0159	IGR_NC_003028.3_0150	86	0	1	86	1	86	1.106E-44	156.0	86	TANDEM(++)	SPV_0179	SPV_0180	86	TANDEM(++)	SP_RS00935	SP_RS00940
IGR_D39V_0191	IGR_NC_003028.3_0175	46	0	1	46	239	284	5.296E-22	84.0	46	TANDEM(++)	SPV_2485	SPV_0207	284	TANDEM(++)	SP_RS01075	SP_RS01080
IGR_D39V_0223	IGR_NC_003028.3_0209	230	0	1	230	1	230	3.231E-126	414.0	230	TANDEM(++)	SPV_0242	SPV_0243	230	TANDEM(++)	SP_RS01275	SP_RS01280
IGR_D39V_0255	IGR_NC_003028.3_0239	30	0	1	30	326	355	6.356E-13	55.0	30	TANDEM(++)	SPV_2487	SPV_0274	355	DIVERGENT	SP_RS01440	SP_RS01445
IGR_D39V_0351	IGR_NC_003028.3_0354	128	0	1	128	1	128	1.778E-68	231.0	128	TANDEM(--)	SPV_0395	SPV_0396	128	TANDEM(--)	SP_RS02145	SP_RS02150
IGR_D39V_0627	IGR_NC_003028.3_0662	228	0	1	228	1	228	4.377E-125	410.0	228	TANDEM(--)	SPV_0717	SPV_0718	228	TANDEM(--)	SP_RS04015	SP_RS04020
IGR_D39V_0755	IGR_NC_003028.3_0799	97	0	1	97	1	97	6.462E-51	175.0	97	TANDEM(++)	SPV_0878	SPV_0879	97	TANDEM(++)	SP_RS04920	SP_RS04925
IGR_D39V_0506	IGR_NC_003028.3_0537	210	0	1	210	1	210	6.726E-115	378.0	210	TANDEM(++)	SPV_0570	SPV_0571	210	TANDEM(++)	SP_RS03225	SP_RS03230
IGR_D39V_0538	IGR_NC_003028.3_0570	33	0	1	33	1	33	1.261E-14	61.0	33	TANDEM(++)	SPV_0608	SPV_0609	33	TANDEM(++)	SP_RS03425	SP_RS03430
IGR_D39V_0570	IGR_NC_003028.3_0603	67	0	1	67	1	67	6.514E-34	122.0	67	TANDEM(++)	SPV_0648	SPV_0649	88	TANDEM(++)	SP_RS03645	SP_RS03650
IGR_D39V_0730	IGR_NC_003028.3_0773	32	0	1	32	1	32	4.657E-14	59.0	32	TANDEM(++)	SPV_0847	SPV_0848	32	TANDEM(++)	SP_RS04755	SP_RS04760
IGR_D39V_0524	IGR_NC_003028.3_0554	39	0	1	39	1	39	4.963E-18	71.0	39	CONVERGENT	SPV_0591	SPV_0592	39	CONVERGENT	SP_RS03335	SP_RS03340
IGR_D39V_0556	IGR_NC_003028.3_0588	54	0	1	54	1	54	1.534E-26	98.0	54	TANDEM(--)	SPV_0632	SPV_2503	365	DIVERGENT	SP_RS03555	SP_RS03560
IGR_D39V_0588	IGR_NC_003028.3_0619	172	0	1	172	1	172	2.170E-93	310.0	172	TANDEM(++)	SPV_0666	SPV_0667	172	TANDEM(++)	SP_RS03735	SP_RS03740
IGR_D39V_0684	IGR_NC_003028.3_0724	58	0	1	58	1	58	8.266E-29	105.0	58	TANDEM(++)	SPV_0789	SPV_0790	58	TANDEM(++)	SP_RS04420	SP_RS04425
IGR_D39V_0722	IGR_NC_003028.3_0762	85	0	1	85	1	85	4.078E-44	154.0	85	TANDEM(++)	SPV_0837	SPV_0838	85	TANDEM(++)	SP_RS04685	SP_RS04690
IGR_D39V_0754	IGR_NC_003028.3_0798	76	0	1	76	1	76	5.148E-39	138.0	76	TANDEM(++)	SPV_0877	SPV_0878	76	TANDEM(++)	SP_RS04915	SP_RS04920
IGR_D39V_0786	IGR_NC_003028.3_0905	163	0	163	1	1	163	2.702E-88	294.0	163	DIVERGENT	SPV_1012	SPV_1010	163	DIVERGENT	SP_RS05585	SP_RS05590
IGR_D39V_0882	IGR_NC_003028.3_0814	41	0	41	1	1	41	3.638E-19	75.0	41	CONVERGENT	SPV_0896	SPV_0895	41	CONVERGENT	SP_RS05005	SP_RS05010
IGR_D39V_0914	IGR_NC_003028.3_0975	193	0	1	193	1	193	2.815E-105	347.0	193	DIVERGENT	SPV_1077	SPV_1078	193	DIVERGENT	SP_RS05975	SP_RS05980
IGR_D39V_0946	IGR_NC_003028.3_1009	183	0	1	183	1	183	1.287E-99	329.0	183	CONVERGENT	SPV_2314	SPV_1122	183	CONVERGENT	SP_RS13660	SP_RS06205
IGR_D39V_1025	IGR_NC_003028.3_1099	89	0	1	89	1	89	2.206E-46	161.0	89	CONVERGENT	SPV_1215	SPV_1216	89	CONVERGENT	SP_RS06775	SP_RS06780
IGR_D39V_1057	IGR_NC_003028.3_1126	115	0	1	115	1	115	4.102E-61	208.0	115	TANDEM(--)	SPV_1251	SPV_1252	115	TANDEM(--)	SP_RS06970	SP_RS06975
IGR_D39V_1121	IGR_NC_003028.3_1196	27	0	1	27	481	507	3.205E-11	50.0	27	TANDEM(--)	SPV_1344	SPV_1345	507	TANDEM(--)	SP_RS07465	SP_RS07470
